,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash
0,33_318960_318857_8,Naive,0.02794855154251308,327874.47,318960.0,33,0.0001976688676623141,318960,8,9.476413412798335,Infeasible,3.3773162364959717,102.15000000002328
1,33_318960_318857_8,DayTrading,0.05160687860546786,335420.53,318960.0,33,0.0001976688676623141,318960,8,9.476413412798335,Complete,131.8227961063385,0.07000000000563489
2,33_318960_318857_8,Directional,0.026465481565086692,327401.43000000005,318960.0,33,0.0001976688676623141,318960,8,9.476413412798335,Infeasible,24.396621704101562,17803.720000000027
3,33_346303_346055_8,Naive,-0.008665233978427129,343302.20347756875,346303.0,33,0.00025685905508248,346303,8,7.877392598946387,Complete,3.570709466934204,0.4199775687791032
4,33_346303_346055_8,DayTrading,0.02266771035769241,354152.89609999995,346303.0,33,0.00025685905508248,346303,8,7.877392598946387,Complete,84.61216807365417,0.1893999998869731
5,33_346303_346055_8,Directional,-0.0061760051169062235,344164.2309,346303.0,33,0.00025685905508248,346303,8,7.877392598946387,Infeasible,39.98543977737427,21726.580000000005
6,33_40832_39291_9,Naive,-0.02017633354076094,40008.15994886365,40832.0,33,0.00043628984445472427,40832,9,9.592762295649822,Complete,3.5464727878570557,63.069948863645095
7,33_40832_39291_9,DayTrading,-0.0034281935736676116,40692.020000000004,40832.0,33,0.00043628984445472427,40832,9,9.592762295649822,Complete,2068.301376104355,0.09999999999984155
8,33_40832_39291_9,Directional,0.025071022727272657,41855.7,40832.0,33,0.00043628984445472427,40832,9,9.592762295649822,Infeasible,1881.641104221344,2309.0800000000045
9,33_96689_96382_3,Naive,0.04758772973140695,101290.21,96689.0,33,0.00015071329382726446,96689,3,9.012062316667576,Complete,3.550841808319092,0.4700000000078717
10,33_96689_96382_3,DayTrading,0.046530525706130164,101187.99000000002,96689.0,33,0.00015071329382726446,96689,3,9.012062316667576,Complete,389.16430163383484,0.07000000002207507
11,33_96689_96382_3,Directional,0.04068766871102197,100623.05,96689.0,33,0.00015071329382726446,96689,3,9.012062316667576,Infeasible,679.3859734535217,6329.82000000001
12,33_98156_97947_7,Naive,0.044592383350731714,102533.00998017442,98156.0,33,0.00026731753610700546,98156,7,8.975551761715467,Complete,3.5754191875457764,2.5199801744273884
13,33_98156_97947_7,DayTrading,0.09717174701287926,107693.98999979618,98156.0,33,0.00026731753610700546,98156,7,8.975551761715467,Complete,225.6374614238739,2.0199996650859333
14,33_98156_97947_7,Directional,0.03648997514161153,101737.71000000002,98156.0,33,0.00026731753610700546,98156,7,8.975551761715467,Infeasible,71.2849133014679,22114.610000000008
15,34_126392_125822_7,Naive,0.015920944116430094,128404.27996876383,126392.0,34,0.0002047733109282651,126392,7,7.795389867634703,Complete,3.623094081878662,0.07996876385345786
16,34_126392_125822_7,DayTrading,-0.13307456169195123,109572.4399986309,126392.0,34,0.0002047733109282651,126392,7,7.795389867634703,Infeasible,179.75476384162903,0.599998826903214
17,34_126392_125822_7,Directional,0.01588842648268888,128400.17000000001,126392.0,34,0.0002047733109282651,126392,7,7.795389867634703,Infeasible,1448.5912716388702,48.38000000000329
18,34_127797_126219_6,Naive,0.0028911774141800878,128166.48379999997,127797.0,34,0.00020108963167299838,127797,6,9.792812067345302,Complete,3.6854898929595947,0.1299999999960164
19,34_127797_126219_6,DayTrading,0.034665758972709675,132227.17999943538,127797.0,34,0.00020108963167299838,127797,6,9.792812067345302,Complete,176.06229948997498,0.09059943538537407
20,34_127797_126219_6,Directional,0.00443016267987513,128363.1615,127797.0,34,0.00020108963167299838,127797,6,9.792812067345302,Infeasible,306.812557220459,7046.669999999999
21,34_201595_200661_3,Naive,0.03902810086066515,209462.8699930058,201595.0,34,0.00017628238671818202,201595,3,9.333228462314738,Complete,3.6435389518737793,4.369993005786114
22,34_201595_200661_3,DayTrading,0.008412311811849264,203290.87999970975,201595.0,34,0.00017628238671818202,201595,3,9.333228462314738,Infeasible,570.6868252754211,9.229990063789622
23,34_201595_200661_3,Directional,0.03467749696173019,208585.81,201595.0,34,0.00017628238671818202,201595,3,9.333228462314738,Infeasible,44.080240964889526,80.69000000000247
24,34_229704_229508_9,Naive,0.02046712278114246,234405.37997131955,229704.0,34,0.00013422149779538316,229704,9,8.957181685264056,Complete,3.6335489749908447,4.579971319562844
25,34_229704_229508_9,DayTrading,-0.1115106397829377,204089.55999930008,229704.0,34,0.00013422149779538316,229704,9,8.957181685264056,Infeasible,144.29902696609497,27.949999300080194
26,34_229704_229508_9,Directional,0.014479438755964136,233029.985,229704.0,34,0.00013422149779538316,229704,9,8.957181685264056,Infeasible,77.63979697227478,12276.959999999966
27,34_231117_230339_3,Naive,0.0003042181857301158,231187.3099944314,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,3.6968414783477783,0.9299944313773949
28,34_231117_230339_3,DayTrading,0.17620404383332608,271840.7499986268,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Complete,125.01873326301575,1.709998626869492
29,34_231117_230339_3,Directional,0.003431076035081718,231909.97999999998,231117.0,34,0.0002774984387794901,231117,3,7.024910845683938,Infeasible,18.24716544151306,9932.82999999998
30,34_246118_244883_8,Naive,0.021388033333627765,251381.9799880058,246118.0,34,0.0003043896807962027,246118,8,9.880939303321096,Complete,3.590998411178589,1.719988005783307
31,34_246118_244883_8,DayTrading,0.01305199132123622,249330.33000000002,246118.0,34,0.0003043896807962027,246118,8,9.880939303321096,Complete,174.65266799926758,0.899999999953252
