,APC_70332,BAX_27887,CAH_21371,CHTR_12308,CMG_91068,C_70519,DHI_77661,DRI_81655,FAST_11618,FMC_19166,GLW_22293,GL_62308,GPN_88873,HP_32707,LOW_61399,MYL_69550,NRG_90071,TXN_15579,USB_66157,VRSK_93089,WBA_19502
1999-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-05,-0.034136546184738936,-0.001978239366963397,0.0076660988074956915,0.0,0.0,0.01863354037267073,0.0,0.0034965034965035446,0.0,0.0,0.005494505494505475,-0.017123287671232834,0.0,0.0,0.0012300123001229846,0.0,0.0,0.02223816355810615,0.007130124777183555,0.0,-0.01538461538461533
1999-01-06,0.058212058212058215,0.05946481665014858,-0.01098901098901095,0.0,0.0,0.060975609756097615,0.0,0.006968641114982521,0.0,0.0,0.061475409836065475,-0.0034843205574912606,0.0,0.0,0.027027027027026973,0.0,0.0,0.02947368421052632,0.02831858407079646,0.0,0.0078125
1999-01-07,0.017681728880157177,-0.018709073900841866,-0.01025641025641022,0.0,0.0,0.07586206896551717,0.0,-0.00692041522491349,0.0,0.0,-0.006435006435006385,-0.0174825174825175,0.0,0.0,0.029904306220095656,0.0,0.0,-0.002044989775051076,0.03442340791738374,0.0,-0.032115171650055396
1999-01-08,-0.007722007722007707,-0.0009532888465204614,-0.016407599309153698,0.0,0.0,-0.009615384615384581,0.0,-0.0034843205574912606,0.0,0.0,0.0012953367875647714,0.0,0.0,0.0,0.016260162601626105,0.0,0.0,0.024590163934426146,0.004991680532445919,0.0,-0.011441647597253968
1999-01-11,0.0019455252918287869,-0.002862595419847347,-0.025460930640913038,0.0,0.0,-0.003236245954692518,0.0,0.006993006993007089,0.0,0.0,-0.021992238033635148,-0.03380782918149461,0.0,0.0,-0.026285714285714246,0.0,0.0,0.01333333333333342,-0.04635761589403975,0.0,-0.02546296296296291
1999-01-12,-0.044660194174757306,0.0,-0.0018018018018017834,0.0,0.0,-0.03463203463203468,0.0,0.0,0.0,0.0,0.002645502645502562,0.009208103130755152,0.0,0.0,-0.0011737089201877549,0.0,0.0,-0.02894736842105261,-0.02951388888888884,0.0,0.03562945368171011
1999-01-13,-0.03861788617886175,-0.013397129186602852,-0.013537906137184086,0.0,0.0,-0.06390134529147984,0.0,0.02083333333333326,0.0,0.0,-0.0079155672823219,-0.0036496350364964014,0.0,0.0,-0.02820211515863691,0.0,0.0,0.013550135501354976,-0.017889087656529523,0.0,0.0584862385321101
1999-01-14,-0.03594080338266381,-0.02133850630455869,0.027447392497712775,0.0,0.0,-0.025149700598802394,0.0,-0.003401360544217691,0.0,0.0,-0.015957446808510634,-0.00366300366300365,0.0,0.0,-0.006045949214026569,0.0,0.0,-0.03342245989304815,-0.02732240437158473,0.0,-0.034669555796316365
1999-01-15,0.0,0.01684836471754214,-0.007123775601068583,0.0,0.0,0.01228501228501222,0.0,0.023890784982935065,0.0,0.0,0.044594594594594694,0.012867647058823595,0.0,0.0,-0.014598540145985384,0.0,0.0,0.024896265560165887,0.020599250936329527,0.0,0.023569023569023573
1999-01-18,-0.002192982456140302,-0.007797270955165692,0.0008968609865471766,0.0,0.0,0.0006067961165048263,0.0,0.02833333333333332,0.0,0.0,0.016170763260025867,-0.006352087114337546,0.0,0.0,0.005555555555555536,0.0,0.0,0.002024291497975783,-0.006422018348623881,0.0,-0.003837719298245612
1999-01-19,-0.00219780219780219,-0.007858546168958758,0.0008960573476701761,0.0,0.0,0.0006064281382656134,0.0,0.027552674230145957,0.0,0.0,0.01591343093570985,-0.006392694063926951,0.0,0.0,0.005524861878453136,0.0,0.0,0.002020202020202033,-0.006463527239150557,0.0,-0.0038525041276830096
1999-01-20,-0.008810572687224627,0.0,0.015219337511190645,0.0,0.0,0.032727272727272716,0.0,-0.03154574132492116,0.0,0.0,-0.0025062656641604564,-0.003676470588235281,0.0,0.0,0.019536019536019467,0.0,0.0,0.071236559139785,-0.03345724907063197,0.0,0.024309392265193353
