,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_cost,average_error,status
0,21_263634_263431_6,Naive,-0.01576336892927862,259478.23999569856,263634.0,21,0.0002453556013870717,263634,6,6.442232545525419,Complete
1,21_263634_263431_6,DayTrading,-0.007882708603594576,261555.84999999995,263634.0,21,0.0002453556013870717,263634,6,6.442232545525419,Complete
2,22_202285_200829_2,Naive,-0.010437056628025007,200173.73999999996,202285.0,22,0.0003104332462448961,202285,2,7.964592118673962,Complete
3,22_202285_200829_2,DayTrading,0.02853216995822699,208056.62999999995,202285.0,22,0.0003104332462448961,202285,2,7.964592118673962,Complete
4,26_154206_152495_9,Naive,0.041148593336619674,160551.35998406677,154206.0,26,0.00014471673578541274,154206,9,7.482275669271301,Complete
5,26_154206_152495_9,DayTrading,-0.008306161888473657,152925.13999982603,154206.0,26,0.00014471673578541274,154206,9,7.482275669271301,Complete
6,26_283226_281352_2,Naive,0.03166548975023476,292194.49,283226.0,26,0.00019055270310931285,283226,2,8.39940191560349,Complete
7,26_283226_281352_2,DayTrading,0.09206930154715147,309302.4199999935,283226.0,26,0.00019055270310931285,283226,2,8.39940191560349,Complete
8,27_120781_119461_7,Naive,0.028611288054389717,124236.69998249724,120781.0,27,0.0002442418028413211,120781,7,8.266242213231351,Complete
