,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty
0,20_103007_102124_7,DirectionalIncentive_0.0,0.016304717144156305,104686.49999886811,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,150.79460048675537,0.5599988681047989,0.0
1,20_103007_102124_7,DirectionalIncentive_25.0,0.009259273002198854,103960.7699341375,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.05392861366272,4.889934137492631,0.25
2,20_103007_102124_7,DirectionalIncentive_50.0,0.009457511941992314,103981.1899326088,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.3440101146698,4.259932608791971,0.5
3,20_103007_102124_7,DirectionalIncentive_75.0,0.009173065344507932,103951.88994194173,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.839556455612183,12.849935005822985,0.75
4,20_103007_102124_7,DirectionalIncentive_100.0,0.009306648413086163,103965.64993308677,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,15.472761869430542,0.9699304608936714,1.0
5,20_103007_102124_7,DirectionalIncentive_125.0,0.009321599022156412,103967.18995047527,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,16.573837995529175,0.8099529473078704,1.25
6,20_103007_102124_7,DirectionalIncentive_150.0,0.009005406927279537,103934.61995135828,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,17.562371253967285,8.97994873162786,1.5
7,20_103007_102124_7,DirectionalIncentive_175.0,0.009144814955808203,103948.97995415294,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,17.38318157196045,7.17995159398539,1.75
8,20_103007_102124_7,DirectionalIncentive_200.0,0.009316162533318583,103966.62995406955,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,16.55608034133911,0.8199540695411542,2.0
9,20_103007_102124_7,Naive,0.005742231004950587,103598.48998912695,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,4.966586589813232,2.1699891269489626,
10,21_333363_332427_2,DirectionalIncentive_0.0,0.044107114466812605,348066.68000000005,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,86.20023965835571,1.4800000000504951,0.0
11,21_333363_332427_2,DirectionalIncentive_25.0,-0.010687328846081062,329800.2399938839,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,27.408523559570312,1.009993883828784,0.25
12,21_333363_332427_2,DirectionalIncentive_50.0,-0.011001430878153607,329695.5299981661,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.767968893051147,4.469998166061689,0.5
13,21_333363_332427_2,DirectionalIncentive_75.0,-0.011112870958664266,329658.3799986068,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.237221002578735,3.5599986067865146,0.75
14,21_333363_332427_2,DirectionalIncentive_100.0,-0.011111671065454692,329658.7799986068,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.46859073638916,3.9599986067865203,1.0
15,21_333363_332427_2,DirectionalIncentive_125.0,-0.011037877633600352,329683.3799984301,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.621344566345215,2.6599984301379855,1.25
16,21_333363_332427_2,DirectionalIncentive_150.0,-0.011090942910533667,329665.68999851577,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.03836464881897,3.349998515752894,1.5
17,21_333363_332427_2,DirectionalIncentive_175.0,-0.011111671065454692,329658.7799986068,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.144220113754272,3.9599986067865203,1.75
18,21_333363_332427_2,DirectionalIncentive_200.0,-0.011004220628545301,329694.59999860625,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,15.15315842628479,0.20999860625821754,2.0
19,21_333363_332427_2,Naive,-0.012612197514421223,329158.56,333363.0,21,0.00012132935694885263,333363,2,6.946817817531598,Complete,4.985586404800415,0.470000000030268,
20,23_296293_295911_5,DirectionalIncentive_0.0,0.11495148383525788,330352.32000000007,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,79.04115295410156,0.1600000001162698,0.0
21,23_296293_295911_5,DirectionalIncentive_25.0,0.20572774242464517,357248.6899862254,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.870930194854736,10.489986225350181,0.25
22,23_296293_295911_5,DirectionalIncentive_50.0,0.03796468358536656,307541.669993559,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,17.30237579345703,4.809993559018242,0.5
23,23_296293_295911_5,DirectionalIncentive_75.0,0.037544086350347,307417.04997700336,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.105828523635864,11.979965959701445,0.75
24,23_296293_295911_5,DirectionalIncentive_100.0,0.037544086350347,307417.04997700336,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.186233043670654,11.979965959701445,1.0
25,23_296293_295911_5,DirectionalIncentive_125.0,0.037262979522102314,307333.75999154226,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,16.229033708572388,2.0099915422511856,1.25
26,23_296293_295911_5,DirectionalIncentive_150.0,0.03722875664226069,307323.61999180535,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,16.64169454574585,0.1599918053763547,1.5
27,23_296293_295911_5,DirectionalIncentive_175.0,0.03734033538436883,307356.6799920408,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.713244915008545,2.3399920408011354,1.75
28,23_296293_295911_5,DirectionalIncentive_200.0,0.03712845054264847,307293.89999663294,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,15.739568710327148,3.5199966329196712,2.0
29,23_296293_295911_5,Naive,0.03179187492367316,305712.7099967599,296293.0,23,0.0003083933471359385,296293,5,8.947590914632428,Complete,4.989442586898804,13.229996759931964,
30,25_34746_33665_4,DirectionalIncentive_0.0,-0.1019403672567273,31203.979999297753,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,323.86392879486084,0.2899967647548607,0.0
31,25_34746_33665_4,DirectionalIncentive_25.0,-0.08428106841877599,31817.56999672121,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,28.517104387283325,0.059996721209433446,0.25
32,25_34746_33665_4,DirectionalIncentive_50.0,-0.07374748275732632,32183.56996411394,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,28.724595546722412,2.0599578995924475,0.5
33,25_34746_33665_4,DirectionalIncentive_75.0,-0.0710645838700132,32276.78996885252,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,30.784636735916138,3.6999475368957224,0.75
34,25_34746_33665_4,DirectionalIncentive_100.0,-0.07565216249077587,32117.3899620955,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,27.843660354614258,0.31996209550064947,1.0
35,25_34746_33665_4,DirectionalIncentive_125.0,-0.07137368389465155,32266.049979396437,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,28.821895599365234,3.1199668755398253,1.25
36,25_34746_33665_4,DirectionalIncentive_150.0,-0.0709949352452937,32279.209979967025,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Complete,31.759896993637085,1.3299571659710487,1.5
