,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
0,50_341718_337071_9,DirP_75.0,0.015307914713301925,346948.9900000001,341718.0,50,0.0003031646174674624,341718,9,7.183048066233089,Complete,293.39382314682007,1032.500000000064,0.75,69,621
1,50_341718_337071_9,DirP_500,0.015442674954202111,346995.04000000004,341718.0,50,0.0003031646174674624,341718,9,7.183048066233089,Complete,104.44675254821777,2309.6000000000554,5.0,69,621
2,50_341718_337071_9,Naive,0.004318443863068385,343193.69,341718.0,50,0.0003031646174674624,341718,9,7.183048066233089,Complete,3.361952066421509,0.8800000000446744,,42,378
