,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
37,20_189842_189531_7,DirP_25.0,0.034152242,196325.53,189842,20,0.000129456,189842,7,8.595356925,Complete,16.22543716,196.03,0.25,24,168
38,20_189842_189531_7,DirP_50.0,0.034381749,196369.1,189842,20,0.000129456,189842,7,8.595356925,Complete,13.22406864,220.82,0.5,27,189
39,20_189842_189531_7,DirP_75.0,0.034306423,196354.8,189842,20,0.000129456,189842,7,8.595356925,Complete,13.03592658,267.68,0.75,28,196
40,20_189842_189531_7,DirP_500,0.034299365,196353.46,189842,20,0.000129456,189842,7,8.595356925,Complete,12.7000885,69.4,5,25,175
41,20_189842_189531_7,Naive,0.034144552,196324.07,189842,20,0.000129456,189842,7,8.595356925,Complete,3.414465189,0.11,,17,119
42,20_202585_202461_9,Directional,0.004375595,203471.43,202585,20,0.000255092,202585,9,8.620905753,Infeasible,10.40984225,9595.84,,14,126
43,20_202585_202461_9,DirP_0,-0.035756349,195341.3,202585,20,0.000255092,202585,9,8.620905753,Infeasible,14.03447819,62.3,0,22,198
44,20_202585_202461_9,DirP_25.0,0.002986993,203190.12,202585,20,0.000255092,202585,9,8.620905753,Complete,12.15262771,1275.66,0.25,31,279
45,20_202585_202461_9,DirP_50.0,0.004014019,203398.18,202585,20,0.000255092,202585,9,8.620905753,Complete,12.54384804,1492.72,0.5,28,252
46,20_202585_202461_9,DirP_75.0,0.004014019,203398.18,202585,20,0.000255092,202585,9,8.620905753,Complete,12.40727258,1492.72,0.75,28,252
47,20_202585_202461_9,DirP_500,0.004014019,203398.18,202585,20,0.000255092,202585,9,8.620905753,Complete,12.07475138,1492.72,5,28,252
48,20_202585_202461_9,Naive,0.00307777,203208.51,202585,20,0.000255092,202585,9,8.620905753,Complete,3.47157836,0.45,,19,171
49,20_297453_296932_8,Directional,0.009642868,300321.3,297453,20,0.000332157,297453,8,9.860025151,Infeasible,8.01949501,674.42,,18,144
50,20_297453_296932_8,DirP_0,-0.098659284,268106.5,297453,20,0.000332157,297453,8,9.860025151,Infeasible,12.74492788,3,0,20,160
51,20_297453_296932_8,DirP_25.0,0.014096143,301645.94,297453,20,0.000332157,297453,8,9.860025151,Complete,12.44500756,20.75,0.25,56,448
52,20_297453_296932_8,DirP_50.0,0.008471288,299972.81,297453,20,0.000332157,297453,8,9.860025151,Complete,12.41112471,1068.9,0.5,28,224
53,20_297453_296932_8,DirP_75.0,0.008024192,299839.82,297453,20,0.000332157,297453,8,9.860025151,Complete,12.30552673,935.91,0.75,28,224
54,20_297453_296932_8,DirP_500,0.008173796,299884.32,297453,20,0.000332157,297453,8,9.860025151,Complete,12.66380906,972.41,5,29,232
55,20_297453_296932_8,Naive,0.008047826,299846.85,297453,20,0.000332157,297453,8,9.860025151,Complete,3.621296167,3.12,,18,144
56,20_325998_325057_5,Directional,0.007634479,328486.825,325998,20,0.000197743,325998,5,8.563938361,Infeasible,10.65613365,67.42,,16,80
57,20_325998_325057_5,DirP_0,0.017880723,331827.08,325998,20,0.000197743,325998,5,8.563938361,Complete,13.14766192,10.08,0,58,290
58,20_325998_325057_5,DirP_25.0,0.009922975,329232.87,325998,20,0.000197743,325998,5,8.563938361,Complete,12.97845054,67.485,0.25,29,145
59,20_325998_325057_5,DirP_50.0,0.007680891,328501.955,325998,20,0.000197743,325998,5,8.563938361,Complete,13.26375556,323.025,0.5,24,120
60,20_325998_325057_5,DirP_75.0,0.00769359,328506.095,325998,20,0.000197743,325998,5,8.563938361,Complete,13.47885466,285.375,0.75,23,115
61,20_325998_325057_5,DirP_500,0.007682332,328502.425,325998,20,0.000197743,325998,5,8.563938361,Complete,13.00665903,323.495,5,24,120
62,20_325998_325057_5,Naive,0.009317511,329035.49,325998,20,0.000197743,325998,5,8.563938361,Complete,3.622684479,2.84,,14,70
63,20_341573_341432_5,Directional,0.010050531,345005.99,341573,20,0.000169425,341573,5,5.242351164,Infeasible,11.17109442,2348.12,,12,60
64,20_341573_341432_5,DirP_0,-0.038153982,328540.63,341573,20,0.000169425,341573,5,5.242351164,Infeasible,13.10803103,10.85,0,28,140
65,20_341573_341432_5,DirP_25.0,0.010229965,345067.28,341573,20,0.000169425,341573,5,5.242351164,Complete,14.69609499,6.78,0.25,22,110
66,20_341573_341432_5,DirP_50.0,0.010076411,345014.83,341573,20,0.000169425,341573,5,5.242351164,Complete,15.7497189,93.86,0.5,23,115
67,20_341573_341432_5,DirP_75.0,0.010222237,345064.64,341573,20,0.000169425,341573,5,5.242351164,Complete,14.92724204,44.77,0.75,22,110
68,20_341573_341432_5,DirP_500,0.010084931,345017.74,341573,20,0.000169425,341573,5,5.242351164,Complete,13.65119648,93.71,5,22,110
69,20_341573_341432_5,Naive,0.009819219,344926.98,341573,20,0.000169425,341573,5,5.242351164,Complete,3.724798441,0.7,,17,85
